,store,sido,gugun,address
74,해남군청점,전라남도,해남군,"전란남도 해남군 해남읍 북부순환로 112, 동우빌딩 1,2층"
75,구의강변점,서울,광진구,"서울시 광진구 구의강변로 93, 경복빌딩 1층"
76,기쁨병원점,서울,서초구,"서울시 서초구 서초중앙로 4 ,1층"
77,서귀포일호광장점,제주도,서귀포시,제주 서귀포시 서문로 1(서귀동)
78,인천운서점,인천,중구,인천 중구 백년로 128번길 21 스카이프라자 1층
79,광안비치점,부산,수영구,"부산 수영구 광안해변로 165 광안지웰에스테이트 1,2F"
80,대구라온제나점,대구,수성구,"대구광역시 수성구 범어천로 13 1층 102,103호"
81,행담도휴게소,충청남도,당진시,충남 당진시 신평면 서해안고속도로 275
82,청주테크노폴리스,충청북도,청주시,"충북 청주시 흥덕구 송화로 166번길 20, 1층"
83,트윈시티 남산,서울,용산구,서울시 용산구 한강대로 366 1층
84,일산 D/I,경기도,고양시,경기도 고양시 일산서구 일산로 646
85,부산화명새마을금고,부산,북구,부산시 북구 금곡대로 303번길 36
86,제주봉개 D/I,제주도,제주시,"제주 제주시 번영로 430, 1층"
87,대구 반월당제네스점,대구,중구,"대구광역시 중구 중앙대로 312 반월당아너스제네스타워109호,207호,208호"
88,김천휴게소(하),경상북도,김천시,경북 김천시 농소면 경부고속도로 김천(부산)휴게소
89,김천휴게소(상),경상북도,김천시,경북 김천시 농소면 경부고속도로 김천(서울)휴게소
90,충남태안점,충청남도,태안군,"충남 태안군 태안읍 중앙로 152, 1층 파스쿠찌 (동문리 259-2)"
91,동해해안도로 D/I,강원도,동해시,"강원도 동해시 해안로 374,1층"
92,김해진영점,경상남도,김해시,경남 김해시 진영읍 김해대로 361번길 9
93,대구용산점,대구,달서구,"대구시 달서구 용산로 231 1,2층"
94,수성구청역,대구,수성구,"대구시 수성구 달구벌대로 2485, 1층"
95,서김해점,경상남도,김해시,경상남도 김해시 풍유동 66-1번지
96,신기사거리점,인천,미추홀구,"인천 미추홀구 미추홀대로 594 1동, 1층(주안동,동경프라자)"
97,신세계마산,경상남도,창원시,경상남도 창원시 마산합포구 합포로 251(신세계백화점 8층)
98,향동점,경기도,고양시,"경기도 고양시 덕양구 향기4로 1, 1층 110호(향동동, 중흥메디프라자)"
99,광희점,서울,중구,서울시 중구 퇴계로 307 광희빌딩 1층
100,하남미사강변점,경기도,하남시,경기도 하남시 미사강변중앙로111번길 38
101,강남고속터미널점,서울,서초구,"서울시 서초구 신반포로 194, 본관 1층 22호(반포동)"
102,용인역북점,경기도,용인시,"경기도 용인시 처인구 명지로 24, B117~118, 121~122호(역북동, 더럭스나인 애비뉴)"
103,석촌호수점,서울,송파구,서울시 송파구 송파대로49길 37 아쉬세븐빌딩 1층
104,광명철산점,경기도,광명시,경기도 광명시 철산동 437번지
105,계룡DT점,충청남도,계룡시,충남 계룡시 엄사면 엄사리 32-2
106,제주세화 D/I,제주도,제주시,제주 제주시 구좌읍 일주동로 3126
107,청주성화,충청북도,청주시,"충청북도 청주시 서원구 서부로 1348, 성화BD 1F"
108,동탄2영천동,경기도,화성시,경기도 화성시 동탄영천로 81-9 로얄프라자 1층
109,대구다사점,대구,달성군,대구광역시 달성군 다사읍 달구벌대로 858
110,수원권선DT점,경기도,수원시,"경기도 수원시 권선구 서수원로 245,1층(오목천동)"
